Num,PaperLink,Plant_latin,Plant_Chinese,Plant_English,Order,Family,DownloadLink,Download,Version,,
40,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10040,Cucumis sativus, 黄瓜, cucumber,Cucurbitales,Cucurbitaceae,https://ftp.cngb.org/pub/gigadb/pub/10.5524/100001_101000/100603/,Yes,V3,,
41,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10041,Cucurbita moschata, 南瓜, cushaw,Cucurbitales,Cucurbitaceae,http://cucurbitgenomics.org/ftp/genome/Cucurbita_moschata/v1/,Yes,v1,,
42,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10042,Cucurbita pepo, 西葫芦, pumpkin,Cucurbitales,Cucurbitaceae,https://www.ncbi.nlm.nih.gov/genome/12199?genome_assembly_id=380250,Yes,ASM280686v2,,
43,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10043,Cuscuta australis, 南方菟丝子, dodders,Solanales,Convolvulaceae,http://groups.english.kib.cas.cn/epb/dgd/Download/201711/t20171101_386248.html,Yes,,,
44,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10044,Dalbergia odorifera, 降香, fragrant rosewood,Fabales,Fabaceae,http://gigadb.org/dataset/view/id/100760,Yes,,,
45,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10045,Daucus carota, 胡萝卜, carrot,Apiales,Apiaceae,https://www.ncbi.nlm.nih.gov/genome/860?genome_assembly_id=276486,Yes,ASM162521v1,,
46,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10046,Dianthus caryophyllus, 康乃馨、麝香石竹, carnation,Caryophyllales,Caryophyllaceae,https://drive.google.com/drive/folders/19WISx6XEaohy9mNLpIZUVYg5oPbX8jty,Yes,r1.0,,
47,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10047,Dionaea muscipula, 捕蝇草, venus flytrap,Caryophyllales,Droseraceae,https://www.biozentrum.uni-wuerzburg.de/carnivorom/resources,Yes,,,
48,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10048,Dioscorea dumetorum, 荆棘薯蓣, trifoliate yam,Dioscoreales,Dioscoreaceae,https://pub.uni-bielefeld.de/record/2941469#details,Yes,v1.0,,
49,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10049,Diospyros lotus, 君迁子、黑枣, persimmon,Ericales,Ebenaceae,https://drive.google.com/drive/folders/1at4LgvkDJ7E3itCrCBS0EWvdlvXbriDt,Yes,r1.1,,
50,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10050,Elaeis guineensis, 油棕, oil palm,Arecales,Arecaceae,https://www.ncbi.nlm.nih.gov/genome/2669,Yes,EG5,,
51,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10051,Erigeron breviscapus, 灯盏细辛, Chinese fleabane,Asterales,Asteraceae,http://gigadb.org/dataset/view/id/100290,Yes,,,
52,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10052,Eriobotrya japonica, 枇杷, loquat,Rosales,Rosaceae,http://gigadb.org/dataset/100711,Yes,,,
53,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10053,Eschscholzia californica, 花菱草, california poppy,Ranunculales,Papaveraceae,,No,r1.0,没有注释文件,
54,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10054,Eucalyptus grandis, 巨桉、玫瑰桉, rose gum,Myrtales,Myrtaceae,https://www.ncbi.nlm.nih.gov/genome/2181?genome_assembly_id=58726,Yes,Egrandis1_0,,
55,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10055,Euryale ferox, 芡实, prickly waterlily,Nymphaeales,Nymphaeaceae,,No,,没有蛋白文件,
56,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10056,Fagopyrum esculentum, 荞麦, buckwheat,Caryophyllales,Polygonaceae,https://drive.google.com/drive/u/1/folders/1faT2M7-KCBA-hbHebpb29BCHAYZUKMmu,Yes,r1.0,,
57,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10057,Fagopyrum tataricum, 苦荞麦, tartary buckwheat,Caryophyllales,Polygonaceae,http://mbkbase.org/Pinku1/,Yes,V2.IGDBv2,,
58,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10058,Fagus sylvatica, 欧洲山毛榉, European beech,Fagales,Fagaceae,http://gigadb.org/dataset/100461,Yes,v1.3,,
59,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10059,Ficus carica, 无花果, common fig,Rosales,Moraceae,https://plantgarden.jp/en/download/t3494/t3494.G001/,Yes,ver.1,,
60,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10060,Fragaria vesca, 草莓, woodland strawberry,Rosales,Rosaceae,https://www.ncbi.nlm.nih.gov/genome/3314?genome_assembly_id=34435,Yes,FraVesHawaii_1.0,,
61,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10061,Gardenia jasminoides, 栀子, cape jasmine,Gentianales,Rubiaceae,,No,,没有蛋白文件,
